Tribe,Country,Image,Description,Face shape:,Eye shape and size:,Nose shape:,Mouth shape:,Presence and style of scarification or tattoos:,Presence and type of headdress or hair representation:,Color palette used:,Presence of additional elements:,Overall size and proportions:,Material used:,Surface texture:,Presence and style of geometric patterns:,
Baoule,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/7749-medium_default/masque-kpan-du-goli-baoule-cote-ivoire.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Yahoure,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/7708-medium_default/masque-dye-yaoure-cote-ivoire-masques-africains.jpg,"Les Yahoure de Côte d'Ivoire sont réputés pour leurs masques portrait aux traits délicats, utilisés dans les cérémonies rituelles.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/25783-medium_default/masque-facial-mblo-baoule-cote-ivoire.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Kwese / Ba-Kwese,RD Congo,https://www.bruno-mignot.com/galeries/7692-medium_default/masque-initiatique-kwese-rdc-zaire.jpg,"Les Kwese sont réputés pour leurs masques en bois polychromes aux formes géométriques complexes, utilisés dans les rituels d'initiation et les cérémonies de guérison de la société Bukishi.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric,
"Kongo / Yombe",RD Congo,https://www.bruno-mignot.com/galeries/7680-medium_default/masque-portrait-kongo-yombe-rdc-zaire.jpg,"Kongo / Yombe : Les Kongo-Yombe de la RDC et du Congo sont célèbres pour leurs nkisi nkondi, statues à clous utilisées pour la protection et la guérison.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
"Kongo / Yombe",RD Congo,https://www.bruno-mignot.com/galeries/7678-medium_default/masque-de-guerison-kongo-yombe-rdc-zaire.jpg,"Kongo / Yombe : Les Kongo-Yombe de la RDC et du Congo sont célèbres pour leurs nkisi nkondi, statues à clous utilisées pour la protection et la guérison.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Ligbi,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/7595-medium_default/masque-zoomorphe-ligbi-cote-ivoire-ghana.jpg,Les Ligbi du Ghana et de Côte d'Ivoire sont connus pour leur habile tissage de tissus kente et leur rôle historique dans le commerce transsaharien.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Djimini,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/7591-medium_default/masque-de-naissance-polychrome-djimini-jimini-cote-ivoire.jpg,"Les Djimini de Côte d'Ivoire sont connus pour leur architecture traditionnelle, notamment leurs cases rondes à toit conique.",Oval,Large,Wide,Open,Linear,Elaborate,Natural wood,Beads/cowries,Medium,Wood,Smooth,Linear,
Djimini,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/7582-medium_default/masque-de-naissance-polychrome-djimini-jimini-cote-ivoire.jpg,"Les Djimini de Côte d'Ivoire sont connus pour leur architecture traditionnelle, notamment leurs cases rondes à toit conique.",Oval,Large,Wide,Open,Linear,Elaborate,Natural wood,Beads/cowries,Medium,Wood,Smooth,Linear,
Nkanu,RD Congo,https://www.bruno-mignot.com/galeries/7447-medium_default/masque-initiatique-nkanda-nkanu-rdc-zaire.jpg,"Connus pour leurs panneaux sculptés et peints, utilisés dans les rites d'initiation masculine. Ces panneaux, riches en symboles et motifs géométriques, représentent des scènes mythologiques et des enseignements culturels importants.",Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric,
 Tchokwe,Angola,https://www.bruno-mignot.com/galeries/7445-medium_default/masque-makishi-chikunza-chokwe-luvale-angola-zambie.jpg,"Les Tchokwe, présents en Angola, en RDC et en Zambie, sont célèbres pour leurs masques sculptés et leurs dessins sur sable utilisés dans la narration de contes traditionnels.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Geometric,
"Dan / Yacouba",Liberia,https://www.bruno-mignot.com/galeries/7443-medium_default/masque-feminin-dan-yacouba-liberia-masques-africains.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Guerre,Liberia,https://www.bruno-mignot.com/galeries/7436-medium_default/masque-de-ceremonie-ethnie-we-guere-liberia.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
"Songye / Basongje",RD Congo,https://www.bruno-mignot.com/galeries/7429-medium_default/masque-kifwebe-songye-rdc-zaire-masques-africains.jpg,"Les Songye de la République démocratique du Congo sont célèbres pour leurs masques Kifwebe aux motifs géométriques, utilisés dans les cérémonies de la société secrète Bwadi Bwa Kifwebe.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
Metoko,RD Congo,https://www.bruno-mignot.com/galeries/7414-medium_default/masque-de-circoncision-kakongo-metoko-rdc-zaire.jpg,Metoko : Les Metoko de la RDC sont réputés pour leurs masques utilisés dans les rites de passage et les cérémonies funéraires.,Oval,Slit,Thin,Small closed,Raised,Absent,Natural wood,None,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Liberia,https://www.bruno-mignot.com/galeries/7387-medium_default/masque-masculin-dan-yacouba-liberia-masques-africains.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Mbangani,RD Congo,https://www.bruno-mignot.com/galeries/7375-medium_default/masque-rituel-mbangani-rdc-zaire-angola-masques-africain.jpg,Les Mbangani de la RDC sont connus pour leurs masques utilisés dans les cérémonies de la société secrète Mungonge.,Oval,Large,Wide,Open,Linear,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Linear,
Bembe / Babembe,RD Congo,https://www.bruno-mignot.com/galeries/7373-medium_default/masque-cwecwe-bembe-rdc-zaire-masques-africains.jpg,Les Bembe de la République du Congo et de la RDC sont réputés pour leurs petites statues alunga aux bras levés.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
"Songye / Basongje",RD Congo,https://www.bruno-mignot.com/galeries/7371-medium_default/masque-kifwebe-songye-luba-rdc-zaire-masques-africains.jpg,"Les Songye de la République démocratique du Congo sont célèbres pour leurs masques Kifwebe aux motifs géométriques, utilisés dans les cérémonies de la société secrète Bwadi Bwa Kifwebe.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
"Pende / Bapende",RD Congo,https://www.bruno-mignot.com/galeries/7369-medium_default/masque-tundu-pende-rdc-zaire-masques-africains.jpg,"Les Pende de la RDC sont célèbres pour leurs masques mbuya aux expressions dramatiques, utilisés dans les rites de passage et les cérémonies de circoncision.",Oval,Large,Wide,Open,Linear,Elaborate,Natural wood,Beads/cowries,Medium,Wood,Smooth,Linear,
Dogon ,Mali,https://www.bruno-mignot.com/galeries/7354-medium_default/masque-de-singe-composite-dogon-mali-masques-africains.jpg,"Le peuple Dogon du Mali est réputé pour sa cosmologie complexe et ses connaissances astronomiques, notamment leur compréhension du système stellaire de Sirius bien avant sa découverte par les astronomes occidentaux.",Rectangular,Small,Beak-like,Closed,Absent,Elaborate,Vibrant,Animal features,Large,Wood,Smooth,Geometric,
Dogon ,Mali,https://www.bruno-mignot.com/galeries/7352-medium_default/masque-de-lievre-dyommo-dogon-mali-masques-africains.jpg,"Le peuple Dogon du Mali est réputé pour sa cosmologie complexe et ses connaissances astronomiques, notamment leur compréhension du système stellaire de Sirius bien avant sa découverte par les astronomes occidentaux.",Rectangular,Small,Beak-like,Closed,Absent,Elaborate,Vibrant,Animal features,Large,Wood,Smooth,Geometric,
Dogon ,Mali,https://www.bruno-mignot.com/galeries/7350-medium_default/masque-de-hyenne-dogon-mali-masques-africains.jpg,"Le peuple Dogon du Mali est réputé pour sa cosmologie complexe et ses connaissances astronomiques, notamment leur compréhension du système stellaire de Sirius bien avant sa découverte par les astronomes occidentaux.",Rectangular,Small,Beak-like,Closed,Absent,Elaborate,Vibrant,Animal features,Large,Wood,Smooth,Geometric,
Dogon ,Mali,https://www.bruno-mignot.com/galeries/7347-medium_default/masque-de-panthere-dogon-mali-masques-africains.jpg,"Le peuple Dogon du Mali est réputé pour sa cosmologie complexe et ses connaissances astronomiques, notamment leur compréhension du système stellaire de Sirius bien avant sa découverte par les astronomes occidentaux.",Rectangular,Small,Beak-like,Closed,Absent,Elaborate,Vibrant,Animal features,Large,Wood,Smooth,Geometric,
Dogon ,Mali,https://www.bruno-mignot.com/galeries/7343-medium_default/masque-de-guerisseur-dogon-mali-masques-africains.jpg,"Le peuple Dogon du Mali est réputé pour sa cosmologie complexe et ses connaissances astronomiques, notamment leur compréhension du système stellaire de Sirius bien avant sa découverte par les astronomes occidentaux.",Rectangular,Small,Beak-like,Closed,Absent,Elaborate,Vibrant,Animal features,Large,Wood,Smooth,Geometric,
Bambara / Bamana,Mali,https://www.bruno-mignot.com/galeries/7304-medium_default/masque-casque-polychrome-bambara-marka-mali.jpg,"Les Bambara, prédominants au Mali, sont connus pour leurs masques élaborés utilisés dans les cérémonies d'initiation et leur société N'tomo, qui enseigne aux jeunes garçons des valeurs morales à travers la danse et la musique.",Elongated,Slit,Thin,Absent,Geometric,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric,
Kuba / Kete,RD Congo,https://www.bruno-mignot.com/galeries/5422-medium_default/masque-funeraire-inhuba-kabongo-kuba-kete-rdc-zaire.jpg,"Le royaume Kuba de la RDC est renommé pour ses textiles raffinés, ses coupes à boire ndop ornées de motifs géométriques complexes et son système élaboré de titres royaux.",Oval,Large,Wide,Open,Geometric,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Geometric,
"Kuba / Ngeende",RD Congo,https://www.bruno-mignot.com/galeries/5416-medium_default/masque-elephant-mukyeem-mukenda-kuba-ngendee-rdc-zaire.jpg,"Le royaume Kuba de la RDC est renommé pour ses textiles raffinés, ses coupes à boire ndop ornées de motifs géométriques complexes et son système élaboré de titres royaux.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Smooth,Circular,
"Dan / Yacouba",Liberia,https://www.bruno-mignot.com/galeries/5411-medium_default/masques-anciens-chasseur-sipilou-dan-yacouba-liberia.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Liberia,https://www.bruno-mignot.com/galeries/5410-medium_default/masque-ancien-dan-yacouba-liberia-masques-africains.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Bambole,RD Congo,https://www.bruno-mignot.com/galeries/5388-medium_default/masque-initiation-lilwa-mbole-rdc-zaire-masques-africains.jpg,"Les Bambole sont connus pour leurs masques en bois aux traits stylisés et leurs statuettes utilisées dans les rituels de guérison et d'initiation, ainsi que pour leurs techniques traditionnelles de chasse en forêt équatoriale.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Bambole,RD Congo,https://www.bruno-mignot.com/galeries/5387-medium_default/masque-initiation-lilwa-mbole-rdc-zaire-masques-africains.jpg,"Les Bambole sont connus pour leurs masques en bois aux traits stylisés et leurs statuettes utilisées dans les rituels de guérison et d'initiation, ainsi que pour leurs techniques traditionnelles de chasse en forêt équatoriale.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Kuba / Kete,RD Congo,https://www.bruno-mignot.com/galeries/5379-medium_default/masque-funeraire-inhuba-kabongo-kuba-kete-rdc-zaire.jpg,"Le royaume Kuba de la RDC est renommé pour ses textiles raffinés, ses coupes à boire ndop ornées de motifs géométriques complexes et son système élaboré de titres royaux.",Oval,Large,Wide,Open,Geometric,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Geometric,
Komo / Kumu,RD Congo,https://www.bruno-mignot.com/galeries/5378-medium_default/masque-polychrome-komo-rdc-zaire-masques-africains.jpg,"Komo / Kumu : Les Komo de la RDC sont connus pour leurs masques de la société secrète Komo, utilisés pour maintenir l'ordre social.",Elongated,Slit,Thin,Absent,Geometric,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric,
Kwese / Ba-Kwese,RD Congo,https://www.bruno-mignot.com/galeries/5376-medium_default/masque-initiatique-kwese-rdc-zaire.jpg,"Les Kwese sont réputés pour leurs masques en bois polychromes aux formes géométriques complexes, utilisés dans les rituels d'initiation et les cérémonies de guérison de la société Bukishi.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric,
Suku / Basuku,RD Congo,https://www.bruno-mignot.com/galeries/5374-medium_default/masque-initiatique-mukanda-kakungu-suku-rdc-zaire.jpg,Les Suku de la République démocratique du Congo et d'Angola sont connus pour leurs masques hemba utilisés dans les rites d'initiation des jeunes hommes.,Elongated,Slit,Beak-like,Absent,Absent,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric,
"Songye / Basongje",RD Congo,https://www.bruno-mignot.com/galeries/5373-medium_default/masque-kilume-songye-rdc-zaire-masques-africains.jpg,"Les Songye de la République démocratique du Congo sont célèbres pour leurs masques Kifwebe aux motifs géométriques, utilisés dans les cérémonies de la société secrète Bwadi Bwa Kifwebe.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
Kwese / Ba-Kwese,RD Congo,https://www.bruno-mignot.com/galeries/5367-medium_default/masque-de-circoncision-mukanda-kwese-rdc-zaire-angola.jpg,"Les Kwese sont réputés pour leurs masques en bois polychromes aux formes géométriques complexes, utilisés dans les rituels d'initiation et les cérémonies de guérison de la société Bukishi.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric,
 Tchokwe,Angola,https://www.bruno-mignot.com/galeries/5308-medium_default/masque-cihongo-chokwe-tschokwe-angola.jpg,"Les Tchokwe, présents en Angola, en RDC et en Zambie, sont célèbres pour leurs masques sculptés et leurs dessins sur sable utilisés dans la narration de contes traditionnels.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Geometric,
Kuba / Kete,RD Congo,https://www.bruno-mignot.com/galeries/5307-medium_default/masque-initiatique-kuba-kete-rdc-zaire.jpg,"Le royaume Kuba de la RDC est renommé pour ses textiles raffinés, ses coupes à boire ndop ornées de motifs géométriques complexes et son système élaboré de titres royaux.",Oval,Large,Wide,Open,Geometric,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Geometric,
Bembe / Babembe,RD Congo,https://www.bruno-mignot.com/galeries/5306-medium_default/masque-amba-bembe-rdc-zaire-masques-africains.jpg,Les Bembe de la République du Congo et de la RDC sont réputés pour leurs petites statues alunga aux bras levés.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Holo / Baholo,RD Congo,https://www.bruno-mignot.com/galeries/5304-medium_default/masque-de-circoncision-mukanda-holo-rdc-zaire-angola.jpg,Les Holo de la RDC sont réputés pour leurs masques et statuettes utilisés dans les rituels de guérison et d'initiation.,Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Kuba / Kaniok,RD Congo,https://www.bruno-mignot.com/galeries/5303-medium_default/masque-initiatique-kuba-kaniok-rdc-zaire.jpg,"Le royaume Kuba de la RDC est renommé pour ses textiles raffinés, ses coupes à boire ndop ornées de motifs géométriques complexes et son système élaboré de titres royaux.",Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Rough,Linear,
Suku / Basuku,RD Congo,https://www.bruno-mignot.com/galeries/5302-medium_default/masque-initiatique-mukanda-suku-rdc-zaire.jpg,Les Suku de la République démocratique du Congo et d'Angola sont connus pour leurs masques hemba utilisés dans les rites d'initiation des jeunes hommes.,Elongated,Slit,Beak-like,Absent,Absent,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric,
Lele / Bashilele,RD Congo,https://www.bruno-mignot.com/galeries/5301-medium_default/masque-facial-funeraire-lele-bashilele-rdc-zaire.jpg,Les Lele de la RDC sont célèbres pour leurs tissus de raphia finement décorés et leurs statuettes utilisées dans les rituels,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
"Kuba / Bakuba",RD Congo,https://www.bruno-mignot.com/galeries/5300-medium_default/masque-initiatique-kuba-bakuba-rdc-zaire.jpg,"Le royaume Kuba de la RDC est renommé pour ses textiles raffinés, ses coupes à boire ndop ornées de motifs géométriques complexes et son système élaboré de titres royaux.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
"Songye / Basongje",RD Congo,https://www.bruno-mignot.com/galeries/5277-medium_default/masque-kilume-songye-rdc-zaire-masques-africains.jpg,"Les Songye de la République démocratique du Congo sont célèbres pour leurs masques Kifwebe aux motifs géométriques, utilisés dans les cérémonies de la société secrète Bwadi Bwa Kifwebe.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
"Songye / Basongje",RD Congo,https://www.bruno-mignot.com/galeries/5276-medium_default/masque-kifwebe-songye-rdc-zaire-masques-africains.jpg,"Les Songye de la République démocratique du Congo sont célèbres pour leurs masques Kifwebe aux motifs géométriques, utilisés dans les cérémonies de la société secrète Bwadi Bwa Kifwebe.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
Kuba / Bushoong,RD Congo,https://www.bruno-mignot.com/galeries/5275-medium_default/masque-casque-belier-kuba-bushoong-rdc-zaire.jpg,"Le royaume Kuba de la RDC est renommé pour ses textiles raffinés, ses coupes à boire ndop ornées de motifs géométriques complexes et son système élaboré de titres royaux.",Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,None,Medium,Wood,Rough,Linear,
"Pende / Bapende",RD Congo,https://www.bruno-mignot.com/galeries/5274-medium_default/masque-rituel-pende-rdc-zaire-masques-africains.jpg,"Les Pende de la RDC sont célèbres pour leurs masques mbuya aux expressions dramatiques, utilisés dans les rites de passage et les cérémonies de circoncision.",Oval,Large,Wide,Open,Linear,Elaborate,Natural wood,Beads/cowries,Medium,Wood,Smooth,Linear,
"Songye / Basongje",RD Congo,https://www.bruno-mignot.com/galeries/5244-medium_default/masque-kifwebe-songye-rdc-zaire-masques-africains.jpg,"Les Songye de la République démocratique du Congo sont célèbres pour leurs masques Kifwebe aux motifs géométriques, utilisés dans les cérémonies de la société secrète Bwadi Bwa Kifwebe.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
Luba / Baluba,RD Congo,https://www.bruno-mignot.com/galeries/5232-medium_default/masque-casque-bachabiem-luba-shaba-rdc-zaire.jpg,"Les Luba de la RDC sont connus pour leurs caryatides, sièges de pouvoir sculptés représentant des femmes agenouillées.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
"Songye / Basongje",RD Congo,https://www.bruno-mignot.com/galeries/5226-medium_default/masque-kifwebe-songye-rdc-zaire-masques-africains.jpg,"Les Songye de la République démocratique du Congo sont célèbres pour leurs masques Kifwebe aux motifs géométriques, utilisés dans les cérémonies de la société secrète Bwadi Bwa Kifwebe.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
Punu ,Gabon,https://www.bruno-mignot.com/galeries/5224-medium_default/masque-mukuyi-punu-pounou-gabon-masques-africains.jpg,"Les Punu du Gabon sont célèbres pour leurs masques blancs féminins okuyi, aux traits délicats, utilisés dans les cérémonies funéraires et les danses rituelles.",Oval,Large,Wide,Open,Geometric,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Smooth,Geometric,
"Bwa / Bobo Bwa",Burkina Faso,https://www.bruno-mignot.com/galeries/5223-medium_default/masque-soleil-bobo-bwa-burkina-faso-masques-africains.jpg,"Les Bwa du Burkina Faso et du Mali sont célèbres pour leurs masques en bois ornés de motifs géométriques noirs et blancs, utilisés dans les cérémonies agricoles et d'initiation.",Rectangular,Small,Absent,Absent,Geometric,Elaborate,Vibrant,Animal features,Large,Wood,Rough,Geometric,
Kuba / Bushoong,RD Congo,https://www.bruno-mignot.com/galeries/5222-medium_default/masque-casque-bwoom-kuba-bushoong-rdc-zaire.jpg,"Le royaume Kuba de la RDC est renommé pour ses textiles raffinés, ses coupes à boire ndop ornées de motifs géométriques complexes et son système élaboré de titres royaux.",Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,None,Medium,Wood,Rough,Linear,
"Luba / Baluba",RD Congo,https://www.bruno-mignot.com/galeries/5221-medium_default/masque-kifwebe-luba-rdc-zaire-masques-africains.jpg,"Les Luba de la RDC sont connus pour leurs caryatides, sièges de pouvoir sculptés représentant des femmes agenouillées.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Bambara / Bamana,Mali,https://www.bruno-mignot.com/galeries/5209-medium_default/masque-ntomo-bambara-marka-mali-masques-africains.jpg,"Les Bambara, prédominants au Mali, sont connus pour leurs masques élaborés utilisés dans les cérémonies d'initiation et leur société N'tomo, qui enseigne aux jeunes garçons des valeurs morales à travers la danse et la musique.",Elongated,Slit,Thin,Absent,Geometric,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric,
"Songye / Basongje",RD Congo,https://www.bruno-mignot.com/galeries/5187-medium_default/masque-kifwebe-songye-rdc-zaire-masques-africains.jpg,"Les Songye de la République démocratique du Congo sont célèbres pour leurs masques Kifwebe aux motifs géométriques, utilisés dans les cérémonies de la société secrète Bwadi Bwa Kifwebe.",Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
"Kuba / Bakuba",RD Congo,https://www.bruno-mignot.com/galeries/4850-medium_default/masque-casque-initiatique-kuba-bakuba-rdc-zaire.jpg,"Le royaume Kuba de la RDC est renommé pour ses textiles raffinés, ses coupes à boire ndop ornées de motifs géométriques complexes et son système élaboré de titres royaux.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
Lele / Bashilele,RD Congo,https://www.bruno-mignot.com/galeries/4846-medium_default/masque-facial-funeraire-lele-bashilele-rdc-zaire.jpg,Les Lele de la RDC sont célèbres pour leurs tissus de raphia finement décorés et leurs statuettes utilisées dans les rituels,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Kuba / Bushoong,RD Congo,https://www.bruno-mignot.com/galeries/4824-medium_default/masque-casque-bwoom-kuba-bushoong-rdc-zaire.jpg,"Le royaume Kuba de la RDC est renommé pour ses textiles raffinés, ses coupes à boire ndop ornées de motifs géométriques complexes et son système élaboré de titres royaux.",Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,None,Medium,Wood,Rough,Linear,
Holo / Baholo,RD Congo,https://www.bruno-mignot.com/galeries/4823-medium_default/masque-de-circoncision-mukanda-holo-rdc-zaire-angola.jpg,Les Holo de la RDC sont réputés pour leurs masques et statuettes utilisés dans les rituels de guérison et d'initiation.,Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
"Dan / Yacouba",Liberia,https://www.bruno-mignot.com/galeries/4820-medium_default/masque-de-course-ancien-dan-yacouba-liberia-masques-afric.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Liberia,https://www.bruno-mignot.com/galeries/4818-medium_default/masque-ancien-dan-yacouba-liberia-masques-africains.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
 Tchokwe,Angola,https://www.bruno-mignot.com/galeries/4783-medium_default/masque-mwana-pwo-chokwe-tschokwe-angola.jpg,"Les Tchokwe, présents en Angola, en RDC et en Zambie, sont célèbres pour leurs masques sculptés et leurs dessins sur sable utilisés dans la narration de contes traditionnels.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Geometric,
Kuba / Bushoong,RD Congo,https://www.bruno-mignot.com/galeries/4779-medium_default/masque-ngaady-a-waash-kuba-bushoong-rdc-zaire.jpg,"Le royaume Kuba de la RDC est renommé pour ses textiles raffinés, ses coupes à boire ndop ornées de motifs géométriques complexes et son système élaboré de titres royaux.",Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,None,Medium,Wood,Rough,Linear,
Konda,RD Congo,https://www.bruno-mignot.com/galeries/16150-medium_default/masque-fibres-et-bois-konda-ekonda-rdc-zaire.jpg,"Peuple de RDC à parenté matrilinéaire, connu pour l'usage de ""nkisi nkondi"", statuettes à clous servant de gardiens communautaires et de médiateurs de conflits.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Geometric,
Kuba / Binji,RD Congo,https://www.bruno-mignot.com/galeries/4739-medium_default/masque-casque-kuba-binji-rdc-zaire-masques-africains.jpg,"Le royaume Kuba de la RDC est renommé pour ses textiles raffinés, ses coupes à boire ndop ornées de motifs géométriques complexes et son système élaboré de titres royaux.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
